,Subject,Trial,Angle,Matching,Response,Time,Correct,Age,Sex,NewColumn,TimeSecs
285,11,3,150,1,b,2993,1,21,M,220,2.993
286,11,4,100,1,b,6246,1,21,M,220,6.246
287,11,5,50,1,b,2941,1,21,M,220,2.941
288,11,6,50,0,n,2402,1,21,M,220,2.402
289,11,7,100,0,n,3120,1,21,M,220,3.12
290,11,8,0,1,b,1363,1,21,M,220,1.363
291,11,9,150,0,n,4430,1,21,M,220,4.43
292,11,10,150,1,b,5892,1,21,M,220,5.892
293,11,11,50,0,n,4427,1,21,M,220,4.427
294,11,12,0,0,n,1822,1,21,M,220,1.822
295,11,13,0,1,b,1334,1,21,M,220,1.334
296,11,14,100,0,n,3820,1,21,M,220,3.82
297,11,15,100,1,b,2778,1,21,M,220,2.778
298,11,16,50,1,b,4176,1,21,M,220,4.176
299,11,17,100,0,n,5035,1,21,M,220,5.035
300,11,18,150,1,b,5399,1,21,M,220,5.399
301,11,19,50,0,n,2930,1,21,M,220,2.93
302,11,20,50,1,b,1937,1,21,M,220,1.937
303,11,21,100,0,n,3236,1,21,M,220,3.236
304,11,22,0,0,n,1575,1,21,M,220,1.575
305,11,23,0,1,b,1176,1,21,M,220,1.176
306,11,24,150,0,n,5368,1,21,M,220,5.368
307,11,25,150,0,n,2647,1,21,M,220,2.647
308,11,26,50,0,n,5275,1,21,M,220,5.275
309,11,27,50,1,b,2859,1,21,M,220,2.859
310,11,28,100,1,b,4091,1,21,M,220,4.091
311,11,29,0,1,b,1345,1,21,M,220,1.345
312,11,30,0,0,n,2533,1,21,M,220,2.533
313,11,31,150,1,n,3325,0,21,M,220,3.325
314,11,32,100,0,n,5628,1,21,M,220,5.628
315,11,33,50,1,b,7356,1,21,M,220,7.356
316,11,34,100,1,b,3642,1,21,M,220,3.642
317,11,35,150,1,n,4797,0,21,M,220,4.797
318,11,36,0,0,n,2030,1,21,M,220,2.03
319,11,37,100,1,b,4417,1,21,M,220,4.417
320,11,38,150,0,n,3433,1,21,M,220,3.433
321,11,39,0,1,b,1342,1,21,M,220,1.342
322,11,40,50,0,n,1270,1,21,M,220,1.27
323,11,41,150,1,b,6527,1,21,M,220,6.527
324,11,42,0,0,n,1325,1,21,M,220,1.325
325,11,43,100,1,b,5396,1,21,M,220,5.396
326,11,44,150,0,n,6729,1,21,M,220,6.729
327,11,45,50,0,n,1616,1,21,M,220,1.616
328,11,46,100,0,n,4217,1,21,M,220,4.217
329,11,47,0,1,b,1609,1,21,M,220,1.609
330,11,48,50,1,b,2639,1,21,M,220,2.639
331,11,49,100,0,n,3049,1,21,M,220,3.049
332,11,50,150,0,n,3681,1,21,M,220,3.681
333,11,51,0,1,b,2711,1,21,M,220,2.711
334,11,52,0,0,n,1740,1,21,M,220,1.74
335,11,53,100,1,b,3372,1,21,M,220,3.372
336,11,54,50,0,n,963,1,21,M,220,0.963
337,11,55,150,1,b,2054,1,21,M,220,2.054
338,11,56,50,1,b,2125,1,21,M,220,2.125
339,11,57,150,0,n,1760,1,21,M,220,1.76
340,11,58,100,0,n,1972,1,21,M,220,1.972
341,11,59,150,1,b,5673,1,21,M,220,5.673
342,11,61,0,1,b,1703,1,21,M,220,1.703
343,11,62,0,0,n,1295,1,21,M,220,1.295
344,11,63,50,0,n,1086,1,21,M,220,1.086
345,11,64,50,1,b,2183,1,21,M,220,2.183
346,11,65,150,0,n,2208,1,21,M,220,2.208
347,11,66,0,1,b,1347,1,21,M,220,1.347
348,11,67,150,1,b,5904,1,21,M,220,5.904
349,11,68,0,0,n,2773,1,21,M,220,2.773
350,11,69,50,0,n,1333,1,21,M,220,1.333
351,11,70,50,1,b,1726,1,21,M,220,1.726
352,11,71,100,1,b,2380,1,21,M,220,2.38
353,11,72,100,0,n,5672,1,21,M,220,5.672
354,11,73,100,1,b,2970,1,21,M,220,2.97
355,11,74,100,0,n,3307,1,21,M,220,3.307
356,11,75,150,1,n,6274,0,21,M,220,6.274
357,11,76,0,0,n,2292,1,21,M,220,2.292
358,11,77,0,1,b,2073,1,21,M,220,2.073
359,11,78,50,1,b,1528,1,21,M,220,1.528
360,11,79,50,0,n,1692,1,21,M,220,1.692
361,11,80,150,0,n,6458,1,21,M,220,6.458
362,11,81,50,0,n,6253,1,21,M,220,6.253
363,11,82,0,1,b,950,1,21,M,220,0.95
364,11,83,150,0,n,2869,1,21,M,220,2.869
365,11,84,50,1,b,2005,1,21,M,220,2.005
366,11,85,100,1,b,3645,1,21,M,220,3.645
367,11,86,0,0,n,2607,1,21,M,220,2.607
368,11,87,150,1,n,3211,0,21,M,220,3.211
369,11,89,100,0,n,4031,1,21,M,220,4.031
370,11,90,50,1,b,1671,1,21,M,220,1.671
371,11,91,0,1,b,1404,1,21,M,220,1.404
372,11,92,150,1,n,2720,0,21,M,220,2.72
373,11,93,150,0,n,2620,1,21,M,220,2.62
374,11,94,50,0,n,2134,1,21,M,220,2.134
375,11,95,100,1,b,2399,1,21,M,220,2.399
376,11,96,0,0,n,2129,1,21,M,220,2.129
377,42,1,0,0,n,2205,1,28,M,840,2.205
378,42,2,150,0,n,2270,1,28,M,840,2.27
379,42,3,150,1,b,1757,1,28,M,840,1.757
380,42,4,100,1,b,3663,1,28,M,840,3.663
381,42,5,50,1,b,2197,1,28,M,840,2.197
382,42,6,50,0,n,1583,1,28,M,840,1.583
383,42,7,100,0,b,1901,0,28,M,840,1.901
384,42,8,0,1,b,2395,1,28,M,840,2.395
385,42,9,150,0,n,7257,1,28,M,840,7.257
386,42,10,150,1,b,3722,1,28,M,840,3.722
387,42,11,50,0,n,1965,1,28,M,840,1.965
388,42,12,0,0,n,2003,1,28,M,840,2.003
389,42,13,0,1,b,1649,1,28,M,840,1.649
390,42,14,100,0,n,2686,1,28,M,840,2.686
391,42,15,100,1,n,2611,0,28,M,840,2.611
392,42,16,50,1,n,4375,0,28,M,840,4.375
393,42,17,100,0,n,2444,1,28,M,840,2.444
394,42,18,150,1,n,4074,0,28,M,840,4.074
395,42,19,50,0,n,3211,1,28,M,840,3.211
396,42,20,50,1,b,1575,1,28,M,840,1.575
397,42,21,100,0,n,1953,1,28,M,840,1.953
398,42,22,0,0,n,2588,1,28,M,840,2.588
